,0
0,7DWmnmZJicTPIxoZb0m9Go
1,37F7E7BKEw2E4O2L7u0IEp
2,5QzPYn26g8EU2JiaG6bYV3
3,5GWCndQ8ykzf6rYRvwrFcj
4,74kN8Y6dEhekHGJgqhakfX
5,2as22YOJ8LvO0PoKSeAx51
6,3gz5arfvGxtSlw90Z2qSCP
7,3gz5arfvGxtSlw90Z2qSCP
8,1VDMwC7FdXCbeVCpeKUYjg
9,5dvfruqsiGLLndsMeazjH8
10,1iH01kdYfkEgKPfP5wQopA
11,2LKOHdMsL0K9KwcPRlJK2v
12,1j1qNqSyjVMbxcLwkr1svT
13,47UFoOuvrkt4khE7c5aap6
14,2BITQ360Knh6qNAOqR7Dyq
15,55gKq9bOAPRAcOQInZ76tH
16,2bTGlx7cN0zHZegVmkAjBX
17,2i98q44MM1dKQ2QRngV54g
18,02oUvHd9QhVUO4YYb7t9JM
19,4uA4FfwW15P8PguZ1uOlpl
20,6bxKECVRnkLmtpeU22Ve9p
21,5UGAXwbA17bUC0K9uquGY2
22,7ljlWeDjHsxH7XqFlRXesO
23,2mei1NCzlPpkh98PzEqc4N
24,6dGqGkYDoRrKh5UiIcTT22
25,3NLuRwdC33GHNouWUa0CUT
26,4VtMwDx5OC0rjchZNxC7ox
27,7D7e6hm2LiNd6nLuJF6K9Q
28,6r7ULK6c5CLVvImjTIztl1
29,5e2l2ZAMwHmrkdM4Z6NhAR
30,4w9TJQQqKXeLMZyzmLVpRI
31,34VA44arDHajOIl0g27IfK
32,71qKWIBggc7poNXclWN53M
33,2kx5sQgmjYug0GiDh1a4sU
34,0fw4CFcELg9BlAeZIx4N1N
35,6sHUMdSkl1bM9Gt3IZsfjr
36,57lmaSKESubIC2hv1Q4FSZ
37,7dske6urksCA0zJfee3c1l
38,2ZRo7axmMPeSVUvDbGkJah
39,5yfnAsPrvrjiLOhWFycNP4
40,2XynYulas10Wmef4Gqrxw9
41,5FkJHVudUByVjanCqFXRql
42,7koqYCHESDGTORau9emDO1
43,6glvSyTo1y4WLtX0mnDq83
44,07xOTRcQijB89eBXDMTAoa
45,201ssZsPpsLtX96LLGgPwQ
46,5TXDeTFVRVY7Cvt0Dw4vWW
47,1N8TTK1Uoy7UvQNUazfUt5
48,5RBOcBpJXaNnHCGViJmYhh
49,0kEZlJh4mK1QRfb3CT5LPk
50,2CRXFBkRh0V7FZL5kuiqdO
51,3GVkPk8mqxz0itaAriG1L7
52,1KIJclzEbNhSVw8tiHPWwE
53,15lpqHrOIzQtIgPdx8ZEuM
54,55XrFge2dEZwYzNl128DwN
55,1K8TI906fyOZXlIHHm5nNd
56,2SYciSIUYvHMPItZhWY3mI
57,2OrucC3HEPmZpkaQ05Nx0V
58,0olubSy8HbZBrCJlSHV7ex
59,3FLjIW7M7zOxzSHkPaBvOJ
60,5Ly8P5rg2mwmInLx3oCDwc
61,1xK59OXxi2TAAAbmZK0kBL
62,3M214U0mwSm041GsQR3nrO
63,4RPSpwcOe5NgQloQS2CDGp
64,11iiMB7TmFTtaXT4YJAltw
65,2DIFiLjzVxSUc7YY2k7WDA
66,07R9KjDWY5FHo28JEiepIA
67,1aXV8GrmQLvgoFtBPERP7E
68,3qW98Nep4tKYmplyrxJhIe
69,6Ox1rvlwEpB49drasQm6RF
70,4b8mFdxfCSTarIUfhMY8yR
71,2ksyzVfU0WJoBpu8otr4pz
72,72XhVH8vlREICt6NmT623Q
73,1iiOnQBpssMKWXJJiqBsbN
74,5SU2L9BQQ381CKKv5DXYEA
75,2d6yeKVX8B1dFV5nw3SLrI
76,2WYs5LxOZfEyURXu7V0O1a
77,5RE3w3M9g5vsotdIVtLONq
78,7ASpv7mIovCn7biq7AB8VV
79,5CcCBkStZgDp9qH7zfim2A
80,6gHMPnovJioJRT5tvBAj5w
81,3BOQDjSv5ANlwvK97WDSyK
82,5NaV8CwvM9K5RerxT9tbDS
83,3prMUyUG8BS6eWiAMBZcIA
84,403EjoWwYSX37paKSySxs1
85,0E8bi81yfP5pkJneMaXVcE
86,0Fi62HR4UwkdFlvoVAUP1z
87,4NgherJDfCXWBZBYheM4jK
88,07Mde29eZ6MxAErYEwI5eG
89,7pNlD6bLAPhQIDaQ1iCQMz
90,0eHHboQ18MaUDcqo7vyt61
91,4xF4ZBGPZKxECeDFrqSAG4
92,2wHNoMVRuJqoPFaPklXGB0
93,0UYUdfqkHplLojTuEKMqtC
94,4VkEkljlOC5cMbRMhREO5E
95,0TvHrcLqLrQxAmT8ILd21V
96,4vVGo3az28DgDjISbeqY4g
97,2kU3tL5BVXkFLefXLy8pBi
98,11BSETECmxgD0F8EQ5JDa9
99,6MlIIJwO4FxnOlrpOrS4hU
100,1py2OqxJOC7sNHbqfNeeIh
101,4ucnzIVZrWEFF66syLd2AN
102,2WzAAerBvZvvFXgUpSwHZ9
103,6qyS9qBy0mEk3qYaH8mPss
104,1Mgvh8p8Kqm8H4MTC0UgBC
105,2ydpDUL6BfIncxIEdkwpf6
106,1UcyzhmBDfdw07DiuT7DEG
107,02x1qzpnBEEY3z7DD1VVoP
108,5RBOcBpJXaNnHCGViJmYhh
109,6njJR3OIp3oA0Kc4aC9Tzf
110,7mLWNwcvwRdEviz6SfYp8A
111,6KgD9qmWE05bMPVGhFQNzL
112,1A7qPfbcyRVEdcZiwTFhZI
113,4k5JXi9LFYoYXSraIXiLCw
114,3CLSHJv5aUROAN2vfOyCOh
115,2JEqqCWsOpAa5L7hLBZcvc
116,5FkJHVudUByVjanCqFXRql
117,3omcH1HGghFtzaFGgazoy8
118,01kfSdF9zfcDLri5sSWEoL
119,1Ry5nkzgdFpKti330WtBGK
120,17NHXI2CJp7KgdcwcDnRx4
121,79mGxnhjvIAkKIZY3mLuQT
122,58L5MMUqBCZROyYBrRHxsT
123,0KLQj4hvOhmKcbgZYvwUgM
124,0fVESi7cibP10hictveVI6
125,0J2r17bLiJix2C9K9ZPGWy
126,5mnpMkzp3Z2RCCbwIEZCbv
127,18qzn4XoVwC5lnwv1EBpxX
128,2uG7QUtz7owCcQr84JD7fG
129,6Seth37t5I69wFbuGFrsiG
130,2nFrlrdIJG0mRi1rTWTLIx
131,558O5tR6wMeXOyf3qPRa9O
132,09qoXB3aBTUINgb6wyONrz
133,6d3iEFcQftlK9ejg67SO21
134,1kaU2OVc5Zj1uFaw50W8ZE
135,2KYNQpVdHsqC84TgJa5T7O
136,0XCScXZSwsp9qH7QxuKCeG
137,0TRmtiR9q6XnYDzXmoMpGC
138,0zh8sFFJWW3NIOerhSIi3z
139,06W2ejsd15HNM3brgMx1b5
140,2IFSfu19kxWBLQB2CEHqyb
141,4NgherJDfCXWBZBYheM4jK
142,658I1uDnmLSiltFCf98AWE
143,4Pag3kO64jOH4CU2VhngrL
144,30w93wLZVn2v1znX5AI40n
145,6vOMWakAlVuqaUUA1MMFgE
146,05QTU0jumc79qqlpAzMEbw
147,3GbFWANaWI8VZf1AxqFeaN
148,0j8mk7LcS5tmUrLDeOnihT
149,5QmdK8QFbY8TLVKPuJzexD
150,6ZCAoPaurm8pUPDj6bODf2
151,4QnvZSnFkxBw6LsJ1sKapC
152,6fazW2YcCSwJRdkoWls1FB
153,4pi5uj638uQLTWMwowXKpJ
154,1kZ0HVCcWP14ksZDzk2G0q
155,7LRei4DObsFFS9NQ4lAg18
156,58rnl2HPnVyi62LDJr4wDV
157,3wfn0iVPulLK8FMptP2AhS
158,5Ir3G67MNmDuLpbMM4gf12
159,57GUUWRh9sWovE7JT7HrFc
160,4Pcy0y3RXIcMmV5JVXr6gX
161,29e4KOBzZDOX6qnpYbjwoW
162,2B0UI66xHRR3wKZCpirZvb
163,2kx5sQgmjYug0GiDh1a4sU
164,3PjbA0O5olhampPMdaB0V1
165,1PlxqTIamw8Y5u5YWTdlXf
166,3ULhC0SnG6mHluq2UbFqTJ
167,5j1Co85muCNv0bUsDzia5J
168,3YaLFZ52OqM3iNwQvnxThf
169,4xF4ZBGPZKxECeDFrqSAG4
170,6O4oKV3btLiEtOgEuplIUn
171,0QKfiqpEU4h9ycPSzIFwYe
172,4infhqJIQXQHwtLmsddbz9
173,0cMJo7f6kgK0ylnZZF9GvT
174,3BkpvJpaE7LCrrCiusfhsj
175,3iOb0LYj4fOz7bHBAM0wJf
176,0DSdoGArpea9TzBcLhQZFR
177,6y5KtAkEYBZE8VQY4y3Iw6
178,7zkM2VrMD0DvAxNrxZCICt
179,1SHB1hp6267UK9bJQUxYvO
180,2Iks5m5CbOIjgOq129erIA
181,1tWuZiRwEgr0ajAzeK59sx
182,34AfH3hzR5XJ3dCKMKmwYd
183,3gMwwWrcp8knZ2LNn01ddm
184,5TuBTdjCxrME5axAfnyPqc
185,18ywzpvs8aofcvOrI37Hwq
186,7floNISpH8VF4z4459Qo18
187,6nqdgUTiWt4JbABDurkxMI
188,6oBXsOCWhdHGC3A7D0oFqL
